!   Filename:    atl008s.dgn
!   Date:        11/15/2016  8:24:47 AM
!   9900    33 10 13.0000  084 47 11.0000
!   9901    00 00 00.0000  084 47 11.0000
!   9902    34 10 13.0000  000 00 00.0000
!   9903    32 10 13.0000  000 00 00.0000
!   9904    00 00 00.0000  000 00 00.0000
!   9905    00 00 00.0000  000 00 00.0000
!   9906    00 00 00.0000  000 00 00.0000
!   9907    00 00 00.0000  000 00 00.0000
!   9908    00 00 00.0000  000 00 00.0000
!   9909    400000
LINE !
GP 30 15 40.8639  084 26 47.2242  !
GP 30 15 58.4419  084 23 36.3533  !
GP 30 16 18.5609  084 20 25.8058  !
GP 30 16 41.2164  084 17 15.6250  !
GP 30 17 06.4031  084 14 05.8546  !
GP 30 17 34.1152  084 10 56.5381  !
GP 30 18 04.3465  084 07 47.7188  !
GP 30 18 37.0898  084 04 39.4400  !
GP 30 19 12.3377  084 01 31.7450  !
GP 30 19 50.0821  083 58 24.6769  !
GP 30 20 30.3143  083 55 18.2786  !
GP 30 21 13.0250  083 52 12.5930  !
GP 30 21 58.2045  083 49 07.6630  !
GP 30 22 45.8422  083 46 03.5312  !
GP 30 23 35.9272  083 43 00.2400  !
GP 30 24 28.4480  083 39 57.8319  !
GP 30 25 23.3925  083 36 56.3491  !
GP 30 26 20.7480  083 33 55.8335  !
GP 30 27 20.5013  083 30 56.3271  !
GP 30 28 22.6385  083 27 57.8716  !
GP 30 29 27.1454  083 25 00.5085  !
GP 30 30 34.0070  083 22 04.2792  !
GP 30 31 43.2079  083 19 09.2249  !
GP 30 32 54.7320  083 16 15.3863  !
GP 30 34 08.5629  083 13 22.8044  !
GP 30 35 24.6834  083 10 31.5195  !
GP 30 36 43.0760  083 07 41.5720  !
GP 30 38 03.7224  083 04 53.0019  !
GP 30 39 26.6040  083 02 05.8491  !
GP 30 40 51.7015  082 59 20.1531  !
GP 30 42 18.9952  082 56 35.9531  !
GP 30 43 48.4648  082 53 53.2883  !
GP 30 45 20.0896  082 51 12.1973  !
GP 30 46 53.8482  082 48 32.7188  !
GP 30 48 29.7188  082 45 54.8908  !
GP 30 50 07.6791  082 43 18.7513  !
GP 30 51 47.7062  082 40 44.3378  !
GP 30 53 29.7770  082 38 11.6878  !
GP 30 55 13.8674  082 35 40.8380  !
GP 30 56 59.9533  082 33 11.8253  !
GP 30 58 48.0098  082 30 44.6858  !
GP 31 00 38.0117  082 28 19.4556  !
GP 31 02 29.9332  082 25 56.1702  !
GP 31 04 23.7481  082 23 34.8650  !
GP 31 06 19.4297  082 21 15.5749  !
GP 31 08 16.9510  082 18 58.3343  !
GP 31 10 16.2842  082 16 43.1775  !
GP 31 12 17.4014  082 14 30.1381  !
GP 31 14 20.2740  082 12 19.2495  !
GP 31 16 24.8732  082 10 10.5447  !
GP 31 18 31.1695  082 08 04.0563  !
GP 31 20 39.1331  082 05 59.8163  !
GP 31 22 48.7340  082 03 57.8565  !
GP 31 24 59.9413  082 01 58.2082  !
GP 31 27 12.7241  082 00 00.9020  !
GP 31 29 27.0509  081 58 05.9685  !
GP 31 31 42.8900  081 56 13.4376  !
GP 31 34 00.2089  081 54 23.3386  !
GP 31 36 18.9752  081 52 35.7006  !
GP 31 38 39.1558  081 50 50.5520  !
GP 31 41 00.7173  081 49 07.9208  !
GP 31 43 23.6261  081 47 27.8346  !
GP 31 45 47.8479  081 45 50.3203  !
GP 31 48 13.3484  081 44 15.4044  !
GP 31 50 40.0927  081 42 43.1128  !
GP 31 53 08.0457  081 41 13.4711  !
GP 31 55 37.1720  081 39 46.5040  !
GP 31 58 07.4357  081 38 22.2360  !
GP 32 00 38.8007  081 37 00.6907  !
GP 32 03 11.2306  081 35 41.8915  !
GP 32 05 44.6887  081 34 25.8610  !
GP 32 08 19.1380  081 33 12.6213  !
GP 32 10 54.5412  081 32 02.1939  !
GP 32 13 30.8606  081 30 54.5996  !
GP 32 16 08.0585  081 29 49.8589  !
GP 32 18 46.0967  081 28 47.9913  !
GP 32 21 24.9368  081 27 49.0160  !
GP 32 24 04.5403  081 26 52.9514  !
GP 32 26 44.8682  081 25 59.8154  !
GP 32 29 25.8816  081 25 09.6250  !
GP 32 32 07.5410  081 24 22.3970  !
GP 32 34 49.8070  081 23 38.1471  !
GP 32 37 32.6398  081 22 56.8907  !
GP 32 40 15.9996  081 22 18.6421  !
GP 32 42 59.8462  081 21 43.4155  !
GP 32 45 44.1394  081 21 11.2238  !
GP 32 48 28.8386  081 20 42.0797  !
GP 32 51 13.9034  081 20 15.9949  !
GP 32 53 59.2929  081 19 52.9806  !
GP 32 56 44.9662  081 19 33.0472  !
GP 32 59 30.8823  081 19 16.2043  !
GP 33 02 17.0001  081 19 02.4608  !
GP 33 05 03.2783  081 18 51.8251  !
GP 33 07 19.3416  081 18 45.4428  !
LINE !
GP 36 05 30.6657  084 47 11.0000  !
GP 36 17 31.6945  084 47 11.0000  !
LINE !
GP 36 13 57.7465  080 56 11.2906  !
GP 36 13 57.7465  088 38 10.7093  !
LINE !
GP 29 59 45.2031  081 11 55.1712  !
GP 36 13 57.7465  080 56 11.2906  !
LINE !
GP 29 59 45.2031  088 22 26.8287  !
GP 36 13 57.7465  088 38 10.7093  !
LINE !
GP 29 59 45.2031  081 11 55.1712  !
GP 29 59 45.2031  088 22 26.8287  !
LINE !
GP 30 07 09.4874  088 11 59.6811  !
GP 30 09 21.2457  088 12 04.4027  !
LINE !
GP 30 09 24.0019  086 16 41.7377  !
GP 30 07 00.0082  088 17 45.0553  !
LINE !
GP 30 07 00.0082  088 17 45.0553  !
GP 30 09 11.7579  088 17 49.9091  !
LINE !
GP 30 07 18.7136  088 06 13.9294  !
GP 30 09 30.4802  088 06 18.5186  !
LINE !
GP 30 08 08.5464  087 31 39.0504  !
GP 30 10 20.3581  087 31 42.8442  !
LINE !
GP 30 08 00.8987  087 37 24.9048  !
GP 30 10 12.7036  087 37 28.8313  !
LINE !
GP 30 07 52.9879  087 43 10.7435  !
GP 30 10 04.7571  087 43 16.0258  !
LINE !
GP 30 07 44.8140  087 48 56.5658  !
GP 30 09 56.6042  087 49 00.7575  !
LINE !
GP 30 07 36.3769  087 54 42.3712  !
GP 30 09 48.1595  087 54 46.6954  !
LINE !
GP 30 07 27.6768  088 00 28.1593  !
GP 30 09 39.4515  088 00 32.6160  !
LINE !
GP 30 07 07.6125  088 13 08.7589  !
GP 30 09 19.3691  088 13 13.5069  !
LINE !
GP 30 07 05.7271  088 14 17.8352  !
GP 30 09 17.4820  088 14 22.6097  !
LINE !
GP 30 07 03.8313  088 15 26.9100  !
GP 30 09 15.5845  088 15 31.7109  !
LINE !
GP 30 07 01.9250  088 16 35.9834  !
GP 30 09 13.6765  088 16 40.8107  !
LINE !
GP 30 08 29.9098  087 14 21.3971  !
GP 30 10 41.7409  087 14 24.7927  !
LINE !
GP 30 08 23.0519  087 20 07.2960  !
GP 30 10 34.8768  087 20 10.8244  !
LINE !
GP 30 08 15.9308  087 25 53.1806  !
GP 30 10 27.7492  087 25 56.8417  !
LINE !
GP 30 09 24.0019  086 16 41.7377  !
GP 30 11 35.8820  086 16 43.8041  !
LINE !
GP 30 09 19.7783  086 22 27.7507  !
GP 30 11 31.6546  086 22 29.9502  !
LINE !
GP 30 09 15.2912  086 28 13.7547  !
GP 30 11 27.1634  086 28 16.0871  !
LINE !
GP 30 09 10.5406  086 33 59.7490  !
GP 30 11 22.4085  086 34 02.2145  !
LINE !
GP 30 09 05.5265  086 39 45.7332  !
GP 30 11 17.3898  086 39 48.3317  !
LINE !
GP 30 09 00.2489  086 45 31.7068  !
GP 30 11 12.1075  086 45 34.4382  !
LINE !
GP 30 08 54.7079  086 51 17.6693  !
GP 30 11 06.5614  086 51 20.5336  !
LINE !
GP 30 08 48.9034  086 57 03.6200  !
GP 30 11 00.7517  086 57 06.6172  !
LINE !
GP 30 08 42.8356  087 02 49.5586  !
GP 30 10 54.6784  087 02 52.6886  !
LINE !
GP 30 08 36.5044  087 08 35.4845  !
GP 30 10 48.3414  087 08 38.7473  !
LINE !
GP 30 11 35.8820  086 16 43.8041  !
GP 30 09 11.7579  088 17 49.9091  !
LINE !
GP 30 25 51.9313  083 16 41.1227  !
GP 30 23 19.0359  081 11 01.7470  !
LINE !
GP 30 11 18.8181  083 16 54.9791  !
GP 30 08 46.8355  081 11 34.7908  !
LINE !
GP 30 25 51.9313  083 16 41.1227  !
GP 30 02 16.6213  083 17 03.5252  !
LINE !
